Filename,Title,Artist,Search_Query,Genre
Buddy Holly.mp3,Buddy Holly,weezer,weezer Buddy Holly song genre,Indie
Burn Baby Burn.mp3,Burn Baby Burn,Ash,Ash Burn Baby Burn song genre,Pop
Butterfly.mp3,Butterfly,Crazy Town,Crazy Town Butterfly song genre,Hip-Hop
By the Way.mp3,By The Way,Red Hot Chili Peppers,Red Hot Chili Peppers By The Way song genre,Rock
Bye Bye Bye.mp3,Bye Bye Bye,*NSYNC,*NSYNC Bye Bye Bye song genre,Dance; Pop
C'est La Vie.mp3,C'Est La Vie,B*Witched Official,B*Witched Official C'Est La Vie song genre,Pop
Cake By The Ocean.mp3,Cake By The Ocean,DNCE,DNCE Cake By The Ocean song genre,Pop; Dance; Disco
Call Me Maybe.mp3,Call Me Maybe,Carly Rae Jepsen,Carly Rae Jepsen Call Me Maybe song genre,Pop
Call Me.mp3,Call Me,BlondieMusicOfficial,BlondieMusicOfficial Call Me song genre,Rock
Call On Me (Ryan Riback Remix).mp3,Call On Me,STARLEY,STARLEY Call On Me song genre,Dance; EDM
Calm Down.mp3,Calm Down,Rema/Selena Gomez,Rema/Selena Gomez Calm Down song genre,Dance
Calvin Harris - Feels.mp3,Feels,Calvin Harris/Pharrell Williams/Katy Perry/Big Sean,Calvin Harris/Pharrell Williams/Katy Perry/Big Sean Feels song genre,Disco; Ska
Can't Hold Us.mp3,Can'T Hold Us,Macklemore/Ray Dalton,Macklemore/Ray Dalton Can'T Hold Us song genre,Pop; Hip-Hop
Can't Stop.mp3,Can'T Stop,Red Hot Chili Peppers,Red Hot Chili Peppers Can'T Stop song genre,Rock
Cheerleader (Felix Jaehn Remix).mp3,Cheerleader,OMI,OMI Cheerleader song genre,Reggae
Chelsea Dagger.mp3,Chelsea Dagger,The Fratellis,The Fratellis Chelsea Dagger song genre,Indie
Chesney Hawkes - The One and Only.mp3,The One And Only,Chesney Hawkes,Chesney Hawkes The One And Only song genre,Pop
"Christina Aguilera, Lil' Kim, Mya, P!nk - Lady Marmalade.mp3",Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya, P!Nk","Christina Aguilera, Lil' Kim, Mya, P!Nk Lady Marmalade song genre",Disco; Funk
Club Foot.mp3,Club Foot,Kasabian,Kasabian Club Foot song genre,Indie; Alternative Rock
Cold Heart (PNAU Remix).mp3,Cold Heart (Pnau Remix),Elton John,Elton John Cold Heart (Pnau Remix) song genre,Dance; Disco
Come As You Are.mp3,Come As You Are,Nirvana,Nirvana Come As You Are song genre,Alternative Rock
Come On Eileen.mp3,Come On Eileen,"Dexys Midnight Runners, Kevin Rowland","Dexys Midnight Runners, Kevin Rowland Come On Eileen song genre",Folk; Pop
Come Together.mp3,Come Together,The Beatles,The Beatles Come Together song genre,Rock
Come with Me Now.mp3,Come With Me Now,KONGOS,KONGOS Come With Me Now song genre,Alternative Rock
Common People.mp3,Common People,Pulp,Pulp Common People song genre,Britpop
