Filename,Title,Artist,Search_Query,Genre
Bruce Springsteen - Dancing In the Dark.mp3,Dancing In The Dark,Bruce Springsteen,Bruce Springsteen Dancing In The Dark song genre,
Buck Rogers.mp3,Buck Rogers,Feeder,Feeder Buck Rogers song genre,
Buddy Holly.mp3,Buddy Holly,weezer,weezer Buddy Holly song genre,
Burn Baby Burn.mp3,Burn Baby Burn,Ash,Ash Burn Baby Burn song genre,
Butterfly.mp3,Butterfly,Crazy Town,Crazy Town Butterfly song genre,
By the Way.mp3,By The Way,Red Hot Chili Peppers,Red Hot Chili Peppers By The Way song genre,
Bye Bye Bye.mp3,Bye Bye Bye,*NSYNC,*NSYNC Bye Bye Bye song genre,
C'est La Vie.mp3,C'Est La Vie,B*Witched Official,B*Witched Official C'Est La Vie song genre,
Cake By The Ocean.mp3,Cake By The Ocean,DNCE,DNCE Cake By The Ocean song genre,
Call Me Maybe.mp3,Call Me Maybe,Carly Rae Jepsen,Carly Rae Jepsen Call Me Maybe song genre,
Call Me.mp3,Call Me,BlondieMusicOfficial,BlondieMusicOfficial Call Me song genre,
Call On Me (Ryan Riback Remix).mp3,Call On Me,STARLEY,STARLEY Call On Me song genre,
Calm Down.mp3,Calm Down,Rema/Selena Gomez,Rema/Selena Gomez Calm Down song genre,
Calvin Harris - Feels.mp3,Feels,Calvin Harris/Pharrell Williams/Katy Perry/Big Sean,Calvin Harris/Pharrell Williams/Katy Perry/Big Sean Feels song genre,
Can't Hold Us.mp3,Can'T Hold Us,Macklemore/Ray Dalton,Macklemore/Ray Dalton Can'T Hold Us song genre,
Can't Stop.mp3,Can'T Stop,Red Hot Chili Peppers,Red Hot Chili Peppers Can'T Stop song genre,
Cheerleader (Felix Jaehn Remix).mp3,Cheerleader,OMI,OMI Cheerleader song genre,
Chelsea Dagger.mp3,Chelsea Dagger,The Fratellis,The Fratellis Chelsea Dagger song genre,
Chesney Hawkes - The One and Only.mp3,The One And Only,Chesney Hawkes,Chesney Hawkes The One And Only song genre,
"Christina Aguilera, Lil' Kim, Mya, P!nk - Lady Marmalade.mp3",Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya, P!Nk","Christina Aguilera, Lil' Kim, Mya, P!Nk Lady Marmalade song genre",
Club Foot.mp3,Club Foot,Kasabian,Kasabian Club Foot song genre,
Cold Heart (PNAU Remix).mp3,Cold Heart (Pnau Remix),Elton John,Elton John Cold Heart (Pnau Remix) song genre,
Come As You Are.mp3,Come As You Are,Nirvana,Nirvana Come As You Are song genre,
Come On Eileen.mp3,Come On Eileen,"Dexys Midnight Runners, Kevin Rowland","Dexys Midnight Runners, Kevin Rowland Come On Eileen song genre",
Come Together.mp3,Come Together,The Beatles,The Beatles Come Together song genre,
Come with Me Now.mp3,Come With Me Now,KONGOS,KONGOS Come With Me Now song genre,
Common People.mp3,Common People,Pulp,Pulp Common People song genre,
Cooler Than Me.mp3,Cooler Than Me,Mike Posner,Mike Posner Cooler Than Me song genre,
Cosmic Girl.mp3,Cosmic Girl,Jamiroquai,Jamiroquai Cosmic Girl song genre,
Cotton Eye Joe.mp3,Cotton Eye Joe,Rednex,Rednex Cotton Eye Joe song genre,
Counting Stars.mp3,Counting Stars,OneRepublic,OneRepublic Counting Stars song genre,
Crazy Little Thing Called Love.mp3,Crazy Little Thing Called Love,Queen,Queen Crazy Little Thing Called Love song genre,
Crazy What Love Can Do.mp3,Crazy What Love Can Do,David Guetta,David Guetta Crazy What Love Can Do song genre,
Crowded House - Don't Dream It's Over.mp3,Don'T Dream It'S Over,Crowded House,Crowded House Don'T Dream It'S Over song genre,
Culture Club - Karma Chameleon.mp3,Karma Chameleon,Culture Club,Culture Club Karma Chameleon song genre,
Dakota.mp3,Dakota,Stereophonics,Stereophonics Dakota song genre,
Dancing On The Ceiling.mp3,Dancing On The Ceiling,Lionel Richie,Lionel Richie Dancing On The Ceiling song genre,
David Bowie & Mick Jagger - Dancing In The Street.mp3,Dancing In The Street,David Bowie/Mick Jagger,David Bowie/Mick Jagger Dancing In The Street song genre,
"December, 1963 (Oh, What a Night).mp3","December, 1963 (Oh, What A Night)",Frankie Valli and the Four Seasons,"Frankie Valli and the Four Seasons December, 1963 (Oh, What A Night) song genre",
Disco 2000.mp3,Disco 2000,Pulp,Pulp Disco 2000 song genre,
DJ Jazzy Jeff & The Fresh Prince - Summertime.mp3,Summertime,Dj Jazzy Jeff & The Fresh Prince,Dj Jazzy Jeff & The Fresh Prince Summertime song genre,
Do Ya Wanna Taste It.mp3,Do Ya Wanna Taste It,WIG WAM,WIG WAM Do Ya Wanna Taste It song genre,
Doctor Jones.mp3,Doctor Jones,Aqua,Aqua Doctor Jones song genre,
Dog Days Are Over.mp3,Dog Days Are Over,Florence & The Machine,Florence & The Machine Dog Days Are Over song genre,
Domino.mp3,Domino,Jessie J,Jessie J Domino song genre,
Don't Leave Me This Way.mp3,Don'T Leave Me This Way,The Communards,The Communards Don'T Leave Me This Way song genre,
Don't Let Me Down.mp3,Don'T Let Me Down,The Chainsmokers,The Chainsmokers Don'T Let Me Down song genre,
Don't Start Now.mp3,Don'T Start Now,Dua Lipa,Dua Lipa Don'T Start Now song genre,
Don't Stop Believin'.mp3,Don'T Stop Believin',journey,journey Don'T Stop Believin' song genre,
Don't Stop Me Now.mp3,Don'T Stop Me Now,Queen,Queen Don'T Stop Me Now song genre,
Don't You Want Me.mp3,Don'T You Want Me,The Human League,The Human League Don'T You Want Me song genre,
Doo Wah Diddy.mp3,Doo Wah Diddy,DJ Ötzi,DJ Ötzi Doo Wah Diddy song genre,
Down Under.mp3,Down Under,Men At Work,Men At Work Down Under song genre,
Dreams.mp3,Dreams,The Cranberries,The Cranberries Dreams song genre,
Drops of Jupiter (Tell Me).mp3,Drops Of Jupiter (Tell Me),Train,Train Drops Of Jupiter (Tell Me) song genre,
Dynamite -BTS.mp3,Dynamite,BTS,BTS Dynamite song genre,
Dynamite.mp3,Dynamite,Taio Cruz,Taio Cruz Dynamite song genre,
D：Ream - Things Can Only Get Better.mp3,Things Can Only Get Better,D：Ream,D：Ream Things Can Only Get Better song genre,
Ecuador.mp3,Ecuador,DJ SASH!,DJ SASH! Ecuador song genre,
Enter Sandman.mp3,Enter Sandman,Metallica,Metallica Enter Sandman song genre,
Espresso.mp3,Espresso,Sabrina Carpenter,Sabrina Carpenter Espresso song genre,
Every Little Thing She Does Is Magic.mp3,Every Little Thing She Does Is Magic,The Police,The Police Every Little Thing She Does Is Magic song genre,
Every Rose Has Its Thorn.mp3,Every Rose Has Its Thorn,Poison,Poison Every Rose Has Its Thorn song genre,
"Every You, Every Me.mp3","Every You, Every Me",PLACEBO,"PLACEBO Every You, Every Me song genre",
Everybody (Backstreet's Back).mp3,Everybody (Backstreet'S Back),Backstreet Boys,Backstreet Boys Everybody (Backstreet'S Back) song genre,
Fantasy.mp3,Fantasy,Mariah Carey,Mariah Carey Fantasy song genre,
Fast Car.mp3,Fast Car,Jonas Blue,Jonas Blue Fast Car song genre,
Fields Of Gold.mp3,Fields Of Gold,Sting,Sting Fields Of Gold song genre,
Fine Young Cannibals - She Drives Me Crazy.mp3,She Drives Me Crazy,Fine Young Cannibals,Fine Young Cannibals She Drives Me Crazy song genre,
Fire.mp3,Fire,Kasabian,Kasabian Fire song genre,
Fireball.mp3,Fireball,Pitbull,Pitbull Fireball song genre,
Five - Everybody Get Up.mp3,Everybody Get Up,Five,Five Everybody Get Up song genre,
Five - Got The Feelin.mp3,Got The Feelin',Five,Five Got The Feelin' song genre,
Five Colours In Her Hair.mp3,Five Colours In Her Hair,McFly,McFly Five Colours In Her Hair song genre,
Five-Keep On Moving.mp3,Keep On Moving Lyrics,Five,Five Keep On Moving Lyrics song genre,
Flowers In The Window.mp3,Flowers In The Window,Travis,Travis Flowers In The Window song genre,
Footloose.mp3,Footloose,Kenny Loggins,Kenny Loggins Footloose song genre,
Foster the People - Pumped Up Kicks (Aiju Remix).mp3,Pumped Up Kicks (Aiju Remix),Foster The People,Foster The People Pumped Up Kicks (Aiju Remix) song genre,
Freak Like Me.mp3,Freak Like Me,Sugababes,Sugababes Freak Like Me song genre,
George Michael - Faith.mp3,Faith,George Michael,George Michael Faith song genre,
Geri Halliwell - It's Raining Men.mp3,It'S Raining Men,Geri Halliwell,Geri Halliwell It'S Raining Men song genre,
Get It On.mp3,Get It On,T.Rex,T.Rex Get It On song genre,
Get Lucky.mp3,Get Lucky,Pharrell Williams/Nile Rodgers/Daft Punk,Pharrell Williams/Nile Rodgers/Daft Punk Get Lucky song genre,
Get the Party Started.mp3,Get The Party Started,P!NK,P!NK Get The Party Started song genre,
Gettin' Jiggy Wit It.mp3,Gettin' Jiggy Wit It,Will Smith,Will Smith Gettin' Jiggy Wit It song genre,
Ginuwine - Pony.mp3,Pony,Ginuwine,Ginuwine Pony song genre,
Girl from Mars.mp3,Girl From Mars,Ash,Ash Girl From Mars song genre,
Girls & Boys.mp3,Girls & Boys,Blur,Blur Girls & Boys song genre,
Girls Just Want to Have Fun.mp3,Girls Just Want To Have Fun,Cyndi Lauper,Cyndi Lauper Girls Just Want To Have Fun song genre,
Go Your Own Way.mp3,Go Your Own Way,Fleetwood Mac,Fleetwood Mac Go Your Own Way song genre,
Gonna Make You Sweat (Everybody Dance Now).mp3,Gonna Make You Sweat (Everybody Dance Now),C&C Music Factory,C&C Music Factory Gonna Make You Sweat (Everybody Dance Now) song genre,
Good Enough.mp3,Good Enough,Dodgy,Dodgy Good Enough song genre,
Got My Mind Set on You.mp3,Got My Mind Set On You,George Harrison,George Harrison Got My Mind Set On You song genre,
Green Green Grass.mp3,Green Green Grass,George Ezra,George Ezra Green Green Grass song genre,
HandClap.mp3,Handclap,Fitz and the Tantrums,Fitz and the Tantrums Handclap song genre,
Hanson - MMMBop.mp3,Mmmbop,Hanson,Hanson Mmmbop song genre,
Have A Nice Day.mp3,Have A Nice Day,Stereophonics,Stereophonics Have A Nice Day song genre,
Heaven Is a Place on Earth.mp3,Heaven Is A Place On Earth,Belinda Carlisle,Belinda Carlisle Heaven Is A Place On Earth song genre,
Heaven.mp3,Heaven,Bryan Adams,Bryan Adams Heaven song genre,
Here Comes the Hotstepper.mp3,Here Comes The Hotstepper,Ini Kamoze,Ini Kamoze Here Comes The Hotstepper song genre,
Hey Boy Hey Girl.mp3,Hey Boy Hey Girl,The Chemical Brothers,The Chemical Brothers Hey Boy Hey Girl song genre,
High Hopes.mp3,High Hopes,Panic! At The Disco,Panic! At The Disco High Hopes song genre,
Higher Love.mp3,Higher Love,Kygo,Kygo Higher Love song genre,
