Question,Number of Uses
Play A Song On The Jukebox,7
Have Two Consecutive Dances On The Dance Floor,7
Have A Dance On The Dance Floor,7
Get Name And Location Of A Guest Who Doesn't Live In Dorset,7
Name A Song The Band Played,7
Buy Someone A Drink From The Bar,7
Give Somebody A Compliment,7
Name 3 Of Tony’s ‘Hidden Christmas Decorations,7
Eat Some Wedding Cake,7
Eat Something From The Buffet,7
