Filename,Title,Artist
24K Magic (Power Workout Mix).mp3,24K Magic (Power Workout Mix),Release 
Against All Odds (Together at Home Mix).mp3,Against All Odds (Together At Home Mix),AKHENATON
All About That Bass (Radio Dance Remix 2015).mp3,All About That Bass (Radio Dance Remix 2015),Lingyi 
APT..mp3,Apt.,ROSÉ
Baby Got Back.mp3,Baby Got Back,Sir Mix A lot
Bad Dreams.mp3,Bad Dreams,Teddy Swims
Banana Pancakes.mp3,Banana Pancakes,jack johnson
Beautiful Things.mp3,Beautiful Things,Benson Boone
Better Together.mp3,Better Together,jack johnson
Butterfly.mp3,Butterfly,Crazy Town
By the Way.mp3,By The Way,Red Hot Chili Peppers
Can't Stop.mp3,Can'T Stop,Red Hot Chili Peppers
Come Together.mp3,Come Together,gary clark jr
Do Ya Wanna Taste It.mp3,Do Ya Wanna Taste It,WIG WAM official
Down Under (feat. Colin Hay).mp3,Down Under,Luude
Easy Lover.mp3,Easy Lover,Miley Cyrus
Enter Sandman.mp3,Enter Sandman,Metallica
Eurythmics - Sweet Dreams (Holderz 2016 Remix).mp3,Sweet Dreams (Holderz 2016 Remix),Eurythmics
Fireball.mp3,Fireball,Twisted Game Songs 
Gold (2003 Remaster).mp3,Gold (2003 Remaster),Spandau Ballet
Golden.mp3,Golden,HUNTR/X 
Good People.mp3,Good People,jackjohnsonmusic
GOSSIP.mp3,Gossip,Måneskin Official
Groove Is in the Heart.mp3,Groove Is In The Heart,Deee-Lite
HandClap.mp3,Handclap,Fitz and the Tantrums
Here Comes the Hotstepper (Heartical Mix).mp3,Here Comes The Hotstepper (Heartical Mix),Ini Kamoze 
Hold Me Now.mp3,Hold Me Now,Thompson Twins
How Bizarre.mp3,How Bizarre,OMC
Hungry Like the Wolf.mp3,Hungry Like The Wolf,Duran Duran
Hymn for the Weekend (Power Workout Mix).mp3,Hymn For The Weekend (Power Workout Mix),Release 
I Can't Dance (2007 Remaster).mp3,I Can'T Dance ,Genesis
I WANNA BE YOUR SLAVE.mp3,I Wanna Be Your Slave,Måneskin Official
I'm So Excited.mp3,I'M So Excited,The Pointer Sisters
Informer.mp3,Informer,SnowDKO
Into The Groove (You Can Dance Remix Edit) (2022 Remaster).mp3,Into The Groove,Madonna
Island In The Sun.mp3,Island In The Sun,weezer
Istanbul (Not Constantinople).mp3,Istanbul (Not Constantinople),ParticleMen
James Bond Theme (Moby's Re-Version) (2006 Remaster).mp3,Version) (2006 Remaster),Moby
Kryptonite.mp3,Kryptonite,3doorsdown
Le Freak.mp3,Le Freak,Nile Rodgers & CHIC
Lil Boo Thang.mp3,Lil Boo Thang,Paul Russell
Lose Control.mp3,Lose Control,Teddy Swims
Love You Still (abcdefu romantic Version).mp3,Love You Still (Abcdefu Romantic Version),Tyler Shaw
Made You Look (Joel Corry Remix).mp3,Made You Look (Joel Corry Remix),Meghan Trainor
Madonna - Vogue (DJ John Byrne Remix).mp3,Vogue (Dj John Byrne Remix),Madonna
Mr. Vain.mp3,Mr. Vain,Culture Beat
My Sweet Lord (2014 Remaster).mp3,My Sweet Lord (2014 Remaster),George Harrison
Natural Blues.mp3,Natural Blues,Moby
Nice To Meet You.mp3,Nice To Meet You,Myles Smith
Ordinary.mp3,Ordinary,Alex Warren
OutKast - Hey Ya! (Clean - Lyrics).mp3,Hey Ya! (Clean - Lyrics),Outkast
Party In The U.S.A..mp3,Party In The U.S.A.,Miley Cyrus
Push It! (Remix).mp3,Push It! (Remix),SPYZR 
Puttin' On the Ritz (Electro Swing Mix).mp3,Puttin' On The Ritz (Electro Swing Mix),Betty Booom 
Radioactive (Power Workout Mix).mp3,Radioactive (Power Workout Mix),Release 
Rio (2009 Remaster).mp3,Rio (2009 Remaster),Duran Duran
Riptide.mp3,Riptide,Vance Joy
Sapphire.mp3,Sapphire,Ed Sheeran
Scotty Doesn't Know.mp3,Scotty Doesn'T Know,Lustra 
Seven Nation Army (The Glitch Mob Remix).mp3,Seven Nation Army (The Glitch Mob Remix),The White Stripes
Sharks.mp3,Sharks,ImagineDragons
Stargazing.mp3,Stargazing,Myles Smith
Steal My Sunshine.mp3,Steal My Sunshine,LEN TV
Stick Season.mp3,Stick Season,Noah Kahan
Supermassive Black Hole.mp3,Supermassive Black Hole,Muse
Swing Rave.mp3,Swing Rave,Farbwende
Tangled Up (Lokee Remix).mp3,Tangled Up (Lokee Remix),caro emerald
The Time Warp.mp3,The Time Warp,Richard O'Brien 
Thunderstruck.mp3,Thunderstruck,AC/DC
Too Sweet.mp3,Too Sweet,Hozier
Town Called Malice.mp3,Town Called Malice,The Jam
U Can't Touch This.mp3,U Can'T Touch This,MC HAMMER
Undress Rehearsal.mp3,Undress Rehearsal,TImeflies4850
Uprising.mp3,Uprising,Muse
Virtual Insanity (Remastered 2013).mp3,Virtual Insanity (Remastered 2013),Jamiroquai
We Don't Talk About Bruno.mp3,We Don'T Talk About Bruno,Carolina Gaitán - La Gaita
Wrecking Ball.mp3,Wrecking Ball,Miley Cyrus
You Can Call Me Al.mp3,You Can Call Me Al,Paul Simon
